sequence,camera,condition,n_hand_observations,cx,cy,k1,r_fy
p36-tea-0010,brics-odroid-001_cam0,N2,4,641.422,359.834,-0.39371,1.007684
p36-tea-0010,brics-odroid-001_cam1,N2,90,640.316,360.484,-0.3887,1.007895
p36-tea-0010,brics-odroid-002_cam0,N2,80,641.158,361.135,-0.41336,1.004912
p36-tea-0010,brics-odroid-006_cam0,N2,54,639.859,359.962,-0.38405,1.003839
p36-tea-0010,brics-odroid-007_cam0,N2,119,639.658,360.957,-0.40571,1.008727
p36-tea-0010,brics-odroid-007_cam1,N2,111,639.275,360.807,-0.40225,1.008547
p36-tea-0010,brics-odroid-009_cam1,N2,115,639.488,359.945,-0.43068,1.010375
p36-tea-0010,brics-odroid-010_cam0,N2,47,639.124,361.092,-0.3813,1.008103
p36-tea-0010,brics-odroid-010_cam1,N2,56,638.58,359.367,-0.38498,1.007803
p36-tea-0010,brics-odroid-011_cam0,N2,116,640.57,359.717,-0.37314,1.008228
p36-tea-0010,brics-odroid-012_cam0,N2,92,642.398,359.949,-0.39814,1.0043
p36-tea-0010,brics-odroid-012_cam1,N2,94,640.947,359.97,-0.38321,1.0082
p36-tea-0010,brics-odroid-014_cam1,N2,33,642.123,359.058,-0.42585,1.006175
p36-tea-0010,brics-odroid-015_cam0,N2,91,639.773,358.685,-0.38134,1.006357
p36-tea-0010,brics-odroid-015_cam1,N2,119,640.852,359.657,-0.38242,1.009511
p36-tea-0010,brics-odroid-016_cam0,N2,102,642.16,360.35,-0.39464,1.004185
p36-tea-0010,brics-odroid-017_cam0,N2,100,641.485,360.849,-0.41632,1.005357
p36-tea-0010,brics-odroid-017_cam1,N2,107,639.607,360.708,-0.38186,1.007939
p36-tea-0010,brics-odroid-019_cam1,N2,72,640.386,359.517,-0.39848,1.005506
p36-tea-0010,brics-odroid-020_cam0,N2,36,640.842,359.519,-0.34205,1.007319
p36-tea-0010,brics-odroid-020_cam1,N2,51,641.403,360.292,-0.39466,1.008556
p36-tea-0010,brics-odroid-021_cam0,N2,97,640.944,359.608,-0.41366,1.00726
p36-tea-0010,brics-odroid-021_cam1,N2,86,640.818,359.696,-0.39157,1.012833
p36-tea-0010,brics-odroid-022_cam0,N2,44,640.283,360.546,-0.36883,1.009672
p36-tea-0010,brics-odroid-022_cam1,N2,76,640.568,360.035,-0.38285,1.006018
p36-tea-0010,brics-odroid-023_cam0,N2,100,643.292,360.372,-0.34333,1.00424
p36-tea-0010,brics-odroid-024_cam0,N2,91,640.538,359.511,-0.40192,1.00956
p36-tea-0010,brics-odroid-024_cam1,N2,108,640.017,360.754,-0.41603,1.010118
p36-tea-0010,brics-odroid-025_cam0,N2,62,641.211,359.122,-0.38802,1.006916
p36-tea-0010,brics-odroid-025_cam1,N2,119,641.741,359.993,-0.38322,1.003526
p36-tea-0010,brics-odroid-026_cam0,N2,29,639.623,361.119,-0.4042,1.006514
p36-tea-0010,brics-odroid-026_cam1,N2,47,640.108,360.539,-0.39975,1.00839
