sequence,camera,condition,n_hand_observations,cx,cy,k1,r_fy
p36-tea-0010,brics-odroid-001_cam0,N4,4,633.374,338.679,-0.39371,0.997561
p36-tea-0010,brics-odroid-001_cam1,N4,90,625.367,288.306,-0.3887,0.998017
p36-tea-0010,brics-odroid-002_cam0,N4,80,670.133,301.495,-0.41336,0.991694
p36-tea-0010,brics-odroid-006_cam0,N4,54,687.268,373.177,-0.38405,1.007858
p36-tea-0010,brics-odroid-007_cam0,N4,119,666.975,361.817,-0.40571,0.994193
p36-tea-0010,brics-odroid-007_cam1,N4,111,645.01,354.144,-0.40225,1.000595
p36-tea-0010,brics-odroid-009_cam1,N4,115,625.789,312.819,-0.43068,0.997268
p36-tea-0010,brics-odroid-010_cam0,N4,47,653.848,332.364,-0.3813,0.995703
p36-tea-0010,brics-odroid-010_cam1,N4,56,652.762,322.816,-0.38498,0.996821
p36-tea-0010,brics-odroid-011_cam0,N4,116,617.816,335.306,-0.37314,1.000067
p36-tea-0010,brics-odroid-012_cam0,N4,92,624.159,338.707,-0.39814,0.996833
p36-tea-0010,brics-odroid-012_cam1,N4,94,644.913,370.083,-0.38321,0.999306
p36-tea-0010,brics-odroid-014_cam1,N4,33,631.922,325.047,-0.42585,0.995012
p36-tea-0010,brics-odroid-015_cam0,N4,91,612.762,356.393,-0.38134,0.998223
p36-tea-0010,brics-odroid-015_cam1,N4,119,653.32,386.069,-0.38242,0.993963
p36-tea-0010,brics-odroid-016_cam0,N4,102,656.524,284.009,-0.39464,1.002222
p36-tea-0010,brics-odroid-017_cam0,N4,100,608.491,360.493,-0.41632,1.000101
p36-tea-0010,brics-odroid-017_cam1,N4,107,620.154,309.6,-0.38186,0.99684
p36-tea-0010,brics-odroid-019_cam1,N4,72,638.913,331.961,-0.39848,0.996712
p36-tea-0010,brics-odroid-020_cam0,N4,36,685.925,304.393,-0.34205,0.988698
p36-tea-0010,brics-odroid-020_cam1,N4,51,625.349,354.815,-0.39466,0.995505
p36-tea-0010,brics-odroid-021_cam0,N4,97,611.17,329.683,-0.41366,0.998481
p36-tea-0010,brics-odroid-021_cam1,N4,86,642.582,362.27,-0.39157,0.997902
p36-tea-0010,brics-odroid-022_cam0,N4,44,621.285,334.8,-0.36883,0.998222
p36-tea-0010,brics-odroid-022_cam1,N4,76,628.7,381.148,-0.38285,1.000925
p36-tea-0010,brics-odroid-023_cam0,N4,100,639.689,334.074,-0.34333,0.989446
p36-tea-0010,brics-odroid-024_cam0,N4,91,640.02,325.425,-0.40192,1.00046
p36-tea-0010,brics-odroid-024_cam1,N4,108,613.412,391.805,-0.41603,1.001419
p36-tea-0010,brics-odroid-025_cam0,N4,62,666.679,326.532,-0.38802,1.003863
p36-tea-0010,brics-odroid-025_cam1,N4,119,611.242,336.83,-0.38322,1.002309
p36-tea-0010,brics-odroid-026_cam0,N4,29,667.885,340.859,-0.4042,1.000441
p36-tea-0010,brics-odroid-026_cam1,N4,47,623.895,326.857,-0.39975,0.999784
p36-tea-0010,brics-odroid-027_cam0,N4,37,635.196,370.85,-0.37324,0.997498
p36-tea-0010,brics-odroid-027_cam1,N4,5,637.593,348.482,-0.4011,0.999268
p36-tea-0010,brics-odroid-028_cam0,N4,16,634.152,352.473,-0.37556,1.002397
p36-tea-0010,brics-odroid-029_cam0,N4,4,653.291,335.683,-0.39497,0.995944
p36-tea-0010,brics-odroid-029_cam1,N4,24,664.378,322.856,-0.39606,1.001949
p36-tea-0010,brics-odroid-030_cam0,N4,83,637.935,303.971,-0.42761,1.00359
p36-tea-0010,brics-odroid-030_cam1,N4,20,643.799,359.605,-0.38266,1.002854
p41-boxing-0021,brics-odroid-001_cam1,N4,26,625.367,288.306,-0.3887,0.998017
p41-boxing-0021,brics-odroid-002_cam0,N4,10,670.133,301.495,-0.41336,0.991694
p41-boxing-0021,brics-odroid-006_cam0,N4,94,687.268,373.177,-0.38405,1.007858
p41-boxing-0021,brics-odroid-007_cam0,N4,124,666.975,361.817,-0.40571,0.994193
p41-boxing-0021,brics-odroid-007_cam1,N4,110,645.01,354.144,-0.40225,1.000595
p41-boxing-0021,brics-odroid-008_cam0,N4,25,653.525,353.674,-0.41066,0.994029
p41-boxing-0021,brics-odroid-009_cam1,N4,122,625.789,312.819,-0.43068,0.997268
p41-boxing-0021,brics-odroid-010_cam0,N4,110,653.848,332.364,-0.3813,0.995703
p41-boxing-0021,brics-odroid-010_cam1,N4,6,652.762,322.816,-0.38498,0.996821
p41-boxing-0021,brics-odroid-011_cam0,N4,109,617.816,335.306,-0.37314,1.000067
p41-boxing-0021,brics-odroid-012_cam0,N4,87,624.159,338.707,-0.39814,0.996833
p41-boxing-0021,brics-odroid-012_cam1,N4,58,644.913,370.083,-0.38321,0.999306
p41-boxing-0021,brics-odroid-014_cam1,N4,61,631.922,325.047,-0.42585,0.995012
p41-boxing-0021,brics-odroid-015_cam0,N4,108,612.762,356.393,-0.38134,0.998223
p41-boxing-0021,brics-odroid-015_cam1,N4,114,653.32,386.069,-0.38242,0.993963
p41-boxing-0021,brics-odroid-016_cam0,N4,95,656.524,284.009,-0.39464,1.002222
p41-boxing-0021,brics-odroid-017_cam0,N4,81,608.491,360.493,-0.41632,1.000101
p41-boxing-0021,brics-odroid-017_cam1,N4,114,620.154,309.6,-0.38186,0.99684
p41-boxing-0021,brics-odroid-019_cam1,N4,67,638.913,331.961,-0.39848,0.996712
p41-boxing-0021,brics-odroid-020_cam0,N4,108,685.925,304.393,-0.34205,0.988698
p41-boxing-0021,brics-odroid-020_cam1,N4,115,625.349,354.815,-0.39466,0.995505
p41-boxing-0021,brics-odroid-021_cam0,N4,103,611.17,329.683,-0.41366,0.998481
p41-boxing-0021,brics-odroid-021_cam1,N4,80,642.582,362.27,-0.39157,0.997902
p41-boxing-0021,brics-odroid-022_cam0,N4,2,621.285,334.8,-0.36883,0.998222
p41-boxing-0021,brics-odroid-023_cam0,N4,105,639.689,334.074,-0.34333,0.989446
p41-boxing-0021,brics-odroid-024_cam0,N4,98,640.02,325.425,-0.40192,1.00046
p41-boxing-0021,brics-odroid-024_cam1,N4,105,613.412,391.805,-0.41603,1.001419
p41-boxing-0021,brics-odroid-025_cam0,N4,106,666.679,326.532,-0.38802,1.003863
p41-boxing-0021,brics-odroid-025_cam1,N4,46,611.242,336.83,-0.38322,1.002309
p41-boxing-0021,brics-odroid-026_cam0,N4,42,667.885,340.859,-0.4042,1.000441
p41-boxing-0021,brics-odroid-026_cam1,N4,89,623.895,326.857,-0.39975,0.999784
p41-boxing-0021,brics-odroid-027_cam0,N4,32,635.196,370.85,-0.37324,0.997498
p41-boxing-0021,brics-odroid-028_cam0,N4,45,634.152,352.473,-0.37556,1.002397
p41-boxing-0021,brics-odroid-029_cam0,N4,35,653.291,335.683,-0.39497,0.995944
p41-boxing-0021,brics-odroid-029_cam1,N4,106,664.378,322.856,-0.39606,1.001949
p41-boxing-0021,brics-odroid-030_cam0,N4,105,637.935,303.971,-0.42761,1.00359
p41-boxing-0021,brics-odroid-030_cam1,N4,100,643.799,359.605,-0.38266,1.002854
p41-plant-0004,brics-odroid-001_cam1,N4,117,625.367,288.306,-0.3887,0.998017
p41-plant-0004,brics-odroid-002_cam0,N4,99,670.133,301.495,-0.41336,0.991694
p41-plant-0004,brics-odroid-006_cam0,N4,119,687.268,373.177,-0.38405,1.007858
p41-plant-0004,brics-odroid-007_cam0,N4,122,666.975,361.817,-0.40571,0.994193
p41-plant-0004,brics-odroid-007_cam1,N4,123,645.01,354.144,-0.40225,1.000595
p41-plant-0004,brics-odroid-009_cam1,N4,102,625.789,312.819,-0.43068,0.997268
p41-plant-0004,brics-odroid-010_cam0,N4,108,653.848,332.364,-0.3813,0.995703
p41-plant-0004,brics-odroid-010_cam1,N4,6,652.762,322.816,-0.38498,0.996821
p41-plant-0004,brics-odroid-011_cam0,N4,120,617.816,335.306,-0.37314,1.000067
p41-plant-0004,brics-odroid-012_cam0,N4,122,624.159,338.707,-0.39814,0.996833
p41-plant-0004,brics-odroid-012_cam1,N4,124,644.913,370.083,-0.38321,0.999306
p41-plant-0004,brics-odroid-014_cam1,N4,50,631.922,325.047,-0.42585,0.995012
p41-plant-0004,brics-odroid-015_cam0,N4,14,612.762,356.393,-0.38134,0.998223
p41-plant-0004,brics-odroid-015_cam1,N4,102,653.32,386.069,-0.38242,0.993963
p41-plant-0004,brics-odroid-016_cam0,N4,115,656.524,284.009,-0.39464,1.002222
p41-plant-0004,brics-odroid-017_cam0,N4,107,608.491,360.493,-0.41632,1.000101
p41-plant-0004,brics-odroid-017_cam1,N4,103,620.154,309.6,-0.38186,0.99684
p41-plant-0004,brics-odroid-019_cam1,N4,53,638.913,331.961,-0.39848,0.996712
p41-plant-0004,brics-odroid-020_cam0,N4,112,685.925,304.393,-0.34205,0.988698
p41-plant-0004,brics-odroid-020_cam1,N4,52,625.349,354.815,-0.39466,0.995505
p41-plant-0004,brics-odroid-021_cam0,N4,113,611.17,329.683,-0.41366,0.998481
p41-plant-0004,brics-odroid-021_cam1,N4,109,642.582,362.27,-0.39157,0.997902
p41-plant-0004,brics-odroid-022_cam0,N4,25,621.285,334.8,-0.36883,0.998222
p41-plant-0004,brics-odroid-022_cam1,N4,103,628.7,381.148,-0.38285,1.000925
p41-plant-0004,brics-odroid-023_cam0,N4,123,639.689,334.074,-0.34333,0.989446
p41-plant-0004,brics-odroid-024_cam0,N4,120,640.02,325.425,-0.40192,1.00046
p41-plant-0004,brics-odroid-024_cam1,N4,119,613.412,391.805,-0.41603,1.001419
p41-plant-0004,brics-odroid-025_cam0,N4,113,666.679,326.532,-0.38802,1.003863
p41-plant-0004,brics-odroid-025_cam1,N4,124,611.242,336.83,-0.38322,1.002309
