sequence,camera,condition,n_hand_observations,cx,cy,k1,r_fy
p36-tea-0010,brics-odroid-001_cam0,N3,4,633.374,338.679,-0.39371,1.007684
p36-tea-0010,brics-odroid-001_cam1,N3,90,625.367,288.306,-0.3887,1.007895
p36-tea-0010,brics-odroid-002_cam0,N3,80,670.133,301.495,-0.41336,1.004912
p36-tea-0010,brics-odroid-006_cam0,N3,54,687.268,373.177,-0.38405,1.003839
p36-tea-0010,brics-odroid-007_cam0,N3,119,666.975,361.817,-0.40571,1.008727
p36-tea-0010,brics-odroid-007_cam1,N3,111,645.01,354.144,-0.40225,1.008547
p36-tea-0010,brics-odroid-009_cam1,N3,115,625.789,312.819,-0.43068,1.010375
p36-tea-0010,brics-odroid-010_cam0,N3,47,653.848,332.364,-0.3813,1.008103
p36-tea-0010,brics-odroid-010_cam1,N3,56,652.762,322.816,-0.38498,1.007803
p36-tea-0010,brics-odroid-011_cam0,N3,116,617.816,335.306,-0.37314,1.008228
p36-tea-0010,brics-odroid-012_cam0,N3,92,624.159,338.707,-0.39814,1.0043
p36-tea-0010,brics-odroid-012_cam1,N3,94,644.913,370.083,-0.38321,1.0082
p36-tea-0010,brics-odroid-014_cam1,N3,33,631.922,325.047,-0.42585,1.006175
p36-tea-0010,brics-odroid-015_cam0,N3,91,612.762,356.393,-0.38134,1.006357
p36-tea-0010,brics-odroid-015_cam1,N3,119,653.32,386.069,-0.38242,1.009511
p36-tea-0010,brics-odroid-016_cam0,N3,102,656.524,284.009,-0.39464,1.004185
p36-tea-0010,brics-odroid-017_cam0,N3,100,608.491,360.493,-0.41632,1.005357
p36-tea-0010,brics-odroid-017_cam1,N3,107,620.154,309.6,-0.38186,1.007939
p36-tea-0010,brics-odroid-019_cam1,N3,72,638.913,331.961,-0.39848,1.005506
p36-tea-0010,brics-odroid-020_cam0,N3,36,685.925,304.393,-0.34205,1.007319
p36-tea-0010,brics-odroid-020_cam1,N3,51,625.349,354.815,-0.39466,1.008556
p36-tea-0010,brics-odroid-021_cam0,N3,97,611.17,329.683,-0.41366,1.00726
